word,weight
surged,1.0
rally,1.0
optimism,1.0
upbeat,1.0
rosy,1.0
steady,1.0
sank,-1.0
slumped,-1.0
dumped,-1.0
plunge,-1.0
tumble,-1.0
rout,-1.0
routed,-1.0
selloff,-1.0
